IDNAME,RA,Dec,z,LookbackTime,SFR,F250,NAME_IAU,Feature
G15.DR1.51585,212.986206,0.63943702,2.52134299,11.0547876,3044.97778,0.026854,HATLAS J141156.6+003821,-
G15.DR1.5159,216.655609,0.982805014,1.49472892,9.33021927,1453.58069,0.048107,HATLAS J142637.3+005858,-
G15.DR1.51605,217.909851,1.46236098,1.82012045,10.0370464,1252.5918,0.02585,HATLAS J143138.3+012744,-
G15.DR1.5162,215.03952,0.179974005,0.172549993,2.11665154,19.0380249,0.048202,HATLAS J142009.4+001047,-
G15.DR1.51644,215.329605,1.228266,2.30891109,10.8003788,2337.84839,0.026227,HATLAS J142119.1+011341,-
G15.DR1.51655,217.840424,1.044945,2.05593467,10.441412,1660.3324,0.02523,HATLAS J143121.7+010241,-
G15.DR1.5166,216.844879,0.945100009,0.288459986,3.28797364,48.8005638,0.046116,HATLAS J142722.7+005642,-
G15.DR1.5167,212.639069,0.119685002,1.2821126,8.74244118,1275.86401,0.060006,HATLAS J141033.3+000710,-
G15.DR1.51672,213.1315,0.657114983,2.89192605,11.4198074,4275.78418,0.025295,HATLAS J141231.5+003925,-
G15.DR1.5168,220.59317,0.502501011,0.259829998,3.01488495,40.2654953,0.04672,HATLAS J144222.3+003009,-
G15.DR1.5169,213.616684,-0.134354994,1.52183425,9.39716244,1964.26367,0.062343,HATLAS J141428.0-000803,-
G15.DR1.517,219.237549,-0.144226998,0.406814009,4.31669044,274.172241,0.134542,HATLAS J143657.0-000839,-
G15.DR1.5170,217.314301,1.16336501,2.99597383,11.507637,8455.06348,0.044838,HATLAS J142915.4+010948,-
G15.DR1.5172,219.643326,0.961911023,0.499531358,5.0226512,152.082077,0.050093,HATLAS J143834.3+005742,-
G15.DR1.51724,218.264221,0.0957959965,2.68289256,11.2248478,3161.52759,0.023346,HATLAS J143303.4+000544,-
G15.DR1.5173,220.879425,-0.854283988,0.147349998,1.83747554,13.046896,0.044976,HATLAS J144331.0-005115,-
G15.DR1.51735,219.940659,-0.131923005,2.64616942,11.1877851,3332.48657,0.025631,HATLAS J143945.7-000754,-
G15.DR1.5174,221.50972,-0.0598010011,0.44710201,4.63338327,127.440186,0.052062,HATLAS J144602.3-000335,-
G15.DR1.5176,221.341537,-0.508140028,1.0019145,7.7547574,565.136475,0.045657,HATLAS J144521.9-003029,-
G15.DR1.5177,218.258667,1.19674301,0.822756708,6.95285463,471.447113,0.057525,HATLAS J143302.0+011148,-
G15.DR1.5178,220.530441,0.0660659969,0.548529983,5.36459923,167.72142,0.045979,HATLAS J144207.3+000357,-
G15.DR1.5180,214.493225,0.262459993,2.82868457,11.3635263,7174.66504,0.045339,HATLAS J141758.3+001544,-
