RA,Dec,z,LookbackTime
221.011719,0.0713310018,1.90734863e-06,0.0686356723
217.485245,0.872328997,3.81469727e-06,0.0686356723
214.075836,0.705636024,5.7220459e-06,0.0686356723
221.204834,0.0156919993,6.67572021e-06,0.0686356723
214.385925,-0.48398301,7.62939453e-06,0.0686356723
218.796463,0.135078996,8.58306885e-06,0.0686356723
218.993088,0.843623996,1.04904175e-05,0.0686356723
215.704865,1.09559,1.14440918e-05,0.0686356723
217.712372,-0.639581025,1.14440918e-05,0.0686356723
220.469879,-0.262041003,1.23977661e-05,0.0686356723
215.966919,0.832212985,1.23977661e-05,0.0686356723
213.554337,0.871734023,1.33514404e-05,0.0686356723
217.871399,0.259658009,1.52587891e-05,0.0686356723
214.855316,0.300523013,1.71661377e-05,0.0686356723
221.584045,0.329360008,1.8119812e-05,0.0686356723
213.646545,1.26797795,1.8119812e-05,0.0686356723
212.945801,1.27437401,1.90734863e-05,0.0686356723
217.647903,0.634842992,2.00271606e-05,0.0686356723
216.515579,1.293051,2.0980835e-05,0.0686356723
216.838379,-0.237000003,2.28881836e-05,0.0686356723
218.189575,-0.0282760002,2.28881836e-05,0.0686356723
219.037323,1.41285098,2.47955322e-05,0.0686356723
220.995468,0.246785,2.57492065e-05,0.0686356723
214.684875,0.0417880006,3.6239624e-05,0.0686356723
216.035461,-0.59900099,3.6239624e-05,0.0686356723
215.265549,1.45706606,3.6239624e-05,0.0686356723
218.520782,-0.816196978,3.71932983e-05,0.0686356723
220.296173,0.615298986,4.19616699e-05,0.0686356723
212.836151,0.296819001,4.19616699e-05,0.0686356723
219.936218,0.414485008,4.38690186e-05,0.0686356723
215.135757,-0.777209997,4.57763672e-05,0.0686356723
219.317047,1.31046796,4.67300415e-05,0.0686356723
215.205383,1.14365602,4.76837158e-05,0.0686356723
221.744049,0.626335979,5.34057617e-05,0.0686356723
221.673309,1.33961904,5.4359436e-05,0.0686356723
220.942322,0.359409004,5.4359436e-05,0.0686356723
220.68782,0.110283002,5.4359436e-05,0.0686356723
219.355942,0.250871003,5.62667847e-05,0.0686356723
213.87793,0.576375008,5.7220459e-05,0.0686356723
216.47348,0.843819022,5.7220459e-05,0.0686356723
214.002213,1.35817099,5.7220459e-05,0.0686356723
215.173294,-0.200292006,5.81741333e-05,0.0686356723
216.924652,0.631564021,5.81741333e-05,0.0686356723
220.778076,-0.165750995,5.81741333e-05,0.0686356723
221.167725,-0.979642987,5.91278076e-05,0.0686356723
219.780121,1.16170204,6.00814819e-05,0.0686356723
215.519333,-0.301052988,6.00814819e-05,0.0686356723
217.303955,1.12414706,6.77108765e-05,0.0686356723
218.509323,-0.666377008,6.86645508e-05,0.0686356723
