IDNAME,RA,Dec,z,LookbackTime,SFR,F500,Z_PHOT,F350,alpha250350,Z_SPEC,F250,NAME_IAU,FeatureType,FeatureName,FeatureZopt,FeatureZsubmm
G15.DR1.9044,217.073517,1.37736595,0.318320006,3.56227946,49.1327438,0.00553075,0.7390144758563228,0.02593292,1.1739903494291182,0.31832,0.038495,HATLAS J142817.6+012238,-,,0.0,0.0
G15.DR1.9049,218.96283,-0.809998989,1.55160892,9.46876049,1662.67065,0.028673,1.0508516895984057,0.036426,0.9660988736010628,-99.0,0.050418,HATLAS J143551.0-004835,-,,0.0,0.0
G15.DR1.905,213.805588,1.17804694,0.249300003,2.91187882,64.1864243,0.000936,-1.034823810642123,0.036254,2.3565492070947487,0.2493,0.080115,HATLAS J141513.3+011040,-,,0.0,0.0
G15.DR1.9053,217.0448,1.49235106,0.48950699,4.95013714,106.825851,0.01045003,0.8926983579086423,0.02547929,1.0715344280609052,-99.0,0.03654,HATLAS J142810.7+012932,-,,0.0,0.0
G15.DR1.9054,215.893097,0.979466021,0.0947199985,1.22311831,5.89288855,-0.001394,-1.4550433534180316,0.01971,2.6366955689453544,0.09472,0.047861,HATLAS J142334.3+005846,-,,0.0,0.0
G15.DR1.9057,217.632263,-0.722971022,0.514171004,5.12694073,123.24501,0.03559974,2.5261216890211964,0.03871217,-0.017414459347464127,-99.0,0.038486,HATLAS J143031.7-004322,-,,0.0,0.0
G15.DR1.9058,215.394257,0.759747982,1.7673918,9.93549061,2359.73413,0.031868,1.286691895583468,0.039872,0.8088720696110212,-99.0,0.052344,HATLAS J142134.6+004535,-,,0.0,0.0
G15.DR1.906,216.144012,-0.81033802,0.37349999,4.04251862,182.686264,0.010949,-1.8210629130066662,0.040109,2.8807086086711107,0.3735,0.105729,HATLAS J142434.5-004837,-,,0.0,0.0
G15.DR1.9061,214.403793,-0.520287991,0.379220009,4.09040976,69.0914001,0.01657689,-0.404488752638291,0.02023556,1.9363258350921941,0.37922,0.038821,HATLAS J141736.9-003113,-,,0.0,0.0
G15.DR1.9064,218.087158,-0.900452018,0.321330011,3.58935213,61.7239723,0.006529,-1.1312471991351694,0.021093,2.420831466090113,0.32133,0.047631,HATLAS J143220.9-005401,-,,0.0,0.0
G15.DR1.9066,216.498199,-0.131258994,0.418190002,4.4077282,109.455025,0.012182,0.12735963801509165,0.029903,1.5817602413232723,0.41819,0.050916,HATLAS J142559.5-000752,-,,0.0,0.0
G15.DR1.9068,219.058273,0.358502001,2.45404792,10.9782877,5283.25732,0.040553,2.3498087474469003,0.048564,0.10012750170206659,-99.0,0.050228,HATLAS J143613.9+002130,-,,0.0,0.0
G15.DR1.907,213.240997,0.375847012,1.48696542,9.31073666,2944.32544,0.044565,1.9830618567466964,0.087818,0.34462542883553576,-99.0,0.098615,HATLAS J141257.8+002233,-,,0.0,0.0
G15.DR1.9072,221.202118,1.04175901,2.5572865,11.0942774,5770.34326,0.040792,2.688785107728294,0.050985,-0.12585673848552933,-99.0,0.048871,HATLAS J144448.5+010230,-,,0.0,0.0
G15.DR1.9073,212.218094,1.30011702,2.2152245,10.675272,4023.89819,0.036338,2.247944966054672,0.047603,0.16803668929688528,-99.0,0.050372,HATLAS J140852.3+011800,-,,0.0,0.0
G15.DR1.9074,220.343842,0.576887012,0.212397903,2.53951573,22.0631618,0.00652563,-0.9138380382563711,0.01748859,2.2758920255042474,-99.0,0.037612,HATLAS J144122.5+003436,-,,0.0,0.0
G15.DR1.9075,212.225571,0.409711987,2.05949235,10.4469376,3506.43433,0.035694,2.064581385749852,0.048119,0.2902790761667654,-99.0,0.053056,HATLAS J140854.1+002434,-,,0.0,0.0
G15.DR1.9076,216.73616,-0.32346499,1.20149755,8.48624706,980.030701,0.029102,-0.2998209377599803,0.028446,1.866547291839987,-99.0,0.053306,HATLAS J142656.6-001924,-,,0.0,0.0
